"FileName","FileExtension","FilePath","CreatedDateTime","ModifiedDateTime","CreatedBy","ModifiedBy","FileSize","ItemType"
"Malaysia","","SHARING/Project Rubicon Tax DD/Malaysia","07/04/2025 05:13:14","07/04/2025 05:13:11","Jack Hu","Jack Hu","0","Folder"
"1. Audited FS or management accounts","","SHARING/Project Rubicon Tax DD/Malaysia/1. Audited FS or management accounts","09/04/2025 01:25:16","09/04/2025 01:25:16","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"2022 ALLIED CONTAINER DEPOT SERVICES SDN BHD_.pdf","","SHARING/Project Rubicon Tax DD/Malaysia/1. Audited FS or management accounts/2022 ALLIED CONTAINER DEPOT SERVICES SDN BHD_.pdf","09/04/2025 01:26:02","09/04/2025 01:26:02","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"2023 ALLIED CONTAINER DEPOT SERVICES SDN BHD_.pdf","","SHARING/Project Rubicon Tax DD/Malaysia/1. Audited FS or management accounts/2023 ALLIED CONTAINER DEPOT SERVICES SDN BHD_.pdf","09/04/2025 01:26:02","09/04/2025 01:26:02","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"Profit & Loss 2024.xlsx","","SHARING/Project Rubicon Tax DD/Malaysia/1. Audited FS or management accounts/Profit & Loss 2024.xlsx","09/04/2025 01:26:36","09/04/2025 01:26:36","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"Standard Balance Sheet 2024.xlsx","","SHARING/Project Rubicon Tax DD/Malaysia/1. Audited FS or management accounts/Standard Balance Sheet 2024.xlsx","09/04/2025 01:26:36","09/04/2025 01:26:36","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"Trial Balance 2024.xlsx","","SHARING/Project Rubicon Tax DD/Malaysia/1. Audited FS or management accounts/Trial Balance 2024.xlsx","09/04/2025 01:26:36","09/04/2025 01:26:36","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"2. Tax computation","","SHARING/Project Rubicon Tax DD/Malaysia/2. Tax computation","09/04/2025 01:27:55","09/04/2025 01:27:55","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"Allied Container Depot Services Sdn Bhd - Tax comp '22.pdf","","SHARING/Project Rubicon Tax DD/Malaysia/2. Tax computation/Allied Container Depot Services Sdn Bhd - Tax comp '22.pdf","09/04/2025 01:28:01","09/04/2025 01:28:01","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"Allied Container Depot Services Sdn Bhd - Tax Computation YA 2023  (FYE 31.12.2023).pdf","","SHARING/Project Rubicon Tax DD/Malaysia/2. Tax computation/Allied Container Depot Services Sdn Bhd - Tax Computation YA 2023  (FYE 31.12.2023).pdf","09/04/2025 01:28:01","09/04/2025 01:28:01","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
